# VS Code Extension API & Side Effects Analysis (AST-based)

Analyzed 12 extensions (11 with source code)
Generated: 2026-04-03T09:25:02.165Z

## 1. vscode API Methods & Properties

  ███████████ 11/11  vscode.workspace.getConfiguration                       [auto-rename-tag, code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, path-intellisense, prettier, python, rest-client]
  █░░░░░░░░░░  1/11  vscode.ConfigurationTarget                              [cpptools]
  █░░░░░░░░░░  1/11  vscode.StatusBarAlignment                               [cpptools]
  █░░░░░░░░░░  1/11  vscode.ThemeColor                                       [cpptools]
  █░░░░░░░░░░  1/11  vscode.workspace.workspaceFolders.find                  [cpptools]
  █░░░░░░░░░░  1/11  vscode.version.split                                    [cpptools]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.Source.value                      [eslint]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.Source                            [eslint]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.SourceFixAll.value                [eslint]
  █░░░░░░░░░░  1/11  vscode.CodeActionKind.QuickFix.value                    [eslint]
  █░░░░░░░░░░  1/11  vscode.Task                                             [eslint]
  █░░░░░░░░░░  1/11  vscode.ShellExecution                                   [eslint]
  █░░░░░░░░░░  1/11  vscode.OverviewRulerLane.Center                         [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.onDidChangeActiveColorTheme               [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.visibleTextEditors.some                   [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.tabGroups.onDidChangeTabs                 [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.activeColorTheme.kind                     [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.activeColorTheme                          [gitlens]
  █░░░░░░░░░░  1/11  vscode.ColorThemeKind.Light                             [gitlens]
  █░░░░░░░░░░  1/11  vscode.ColorThemeKind.HighContrast                      [gitlens]
  █░░░░░░░░░░  1/11  vscode.OverviewRulerLane.Left                           [gitlens]
  █░░░░░░░░░░  1/11  vscode.OverviewRulerLane.Right                          [gitlens]
  █░░░░░░░░░░  1/11  vscode.TextEditorRevealType.InCenterIfOutsideViewport   [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.File                                  [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Package                               [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Class                                 [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Interface                             [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Module                                [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Namespace                             [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Struct                                [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Constructor                           [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Enum                                  [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Function                              [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.Property                              [gitlens]
  █░░░░░░░░░░  1/11  vscode.SymbolKind.String                                [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.tabGroups.close                           [gitlens]
  █░░░░░░░░░░  1/11  vscode.commands.map                                     [gitlens]
  █░░░░░░░░░░  1/11  vscode.InputBoxValidationSeverity.Info                  [gitlens]
  █░░░░░░░░░░  1/11  vscode.InputBoxValidationSeverity.Error                 [gitlens]
  █░░░░░░░░░░  1/11  vscode.ExtensionMode.Development                        [gitlens]
  █░░░░░░░░░░  1/11  vscode.Uri.from                                         [gitlens]
  █░░░░░░░░░░  1/11  vscode.workspace.decode                                 [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.state.focused                             [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.state                                     [gitlens]
  █░░░░░░░░░░  1/11  vscode.cursor.mcp.registerServer                        [gitlens]
  █░░░░░░░░░░  1/11  vscode.cursor.mcp                                       [gitlens]
  █░░░░░░░░░░  1/11  vscode.cursor.mcp.unregisterServer                      [gitlens]
  █░░░░░░░░░░  1/11  vscode.lm.registerMcpServerDefinitionProvider           [gitlens]
  █░░░░░░░░░░  1/11  vscode.LogLevel.Off                                     [gitlens]
  █░░░░░░░░░░  1/11  vscode.LogLevel.Debug                                   [gitlens]
  █░░░░░░░░░░  1/11  vscode.workspace.registerFileSystemProvider             [gitlens]
  █░░░░░░░░░░  1/11  vscode.FileType.Unknown                                 [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.state.active                              [gitlens]
  █░░░░░░░░░░  1/11  vscode.ColorThemeKind.Dark                              [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.tabGroups.activeTabGroup.activeTab        [gitlens]
  █░░░░░░░░░░  1/11  vscode.window.tabGroups.activeTabGroup                  [gitlens]
  █░░░░░░░░░░  1/11  vscode.lm.onDidChangeChatModels                         [gitlens]
  █░░░░░░░░░░  1/11  vscode.lm.selectChatModels                              [gitlens]
